Concepto,Format,Nombre,UM,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024
Precios,Header,Precios,,,,,,,,,,,,,,,,
Precios,,Cobre LME,(US$/Lb), 3.42 , 4.00 , 3.61 , 3.32 , 3.11 , 2.50 , 2.21 , 2.80 , 2.96 , 2.72 , 2.80 , 4.23 , 4.00 , 3.85 , 4.15 
Precios,,Cobre COMEX,(US$/Lb), 3.43 , 4.01 , 3.61 , 3.34 , 3.12 , 2.51 , 2.20 , 2.80 , 2.93 , 2.72 , 2.80 , 4.24 , 4.01 , 3.86 , 4.22 
Precios,,Molibdeno,(US$/Lb), 15.60 , 15.33 , 12.62 , 10.26 , 11.30 , 6.59 , 6.42 , 8.13 , 11.86 , 11.27 , 8.57 , 15.51 , 18.61 , 23.73 , 21.21 
Precios,,Zinc,(US$/Lb), 0.98 , 0.99 , 0.88 , 0.87 , 0.98 , 0.88 , 0.95 , 1.31 , 1.33 , 1.16 , 1.03 , 1.36 , 1.58 , 1.20 , 1.26 
Precios,,Plata,(US$/Oz), 20.18 , 35.18 , 31.19 , 23.82 , 19.04 , 15.68 , 17.10 , 17.03 , 15.65 , 16.16 , 20.62 , 25.18 , 21.76 , 23.41 , 28.25 
Precios,,Oro,(US$/Oz)," 1,224.66 "," 1,568.58 "," 1,668.82 "," 1,411.03 "," 1,266.19 "," 1,160.11 "," 1,248.34 "," 1,257.13 "," 1,269.14 "," 1,392.17 "," 1,769.59 "," 1,799.58 "," 1,800.80 "," 1,942.74 "," 2,387.04 "
Infomación financiera Clave,Header,Información financiera Clave,,,,,,,,,,,,,,,,
Infomación financiera Clave,,Ventas,(US$ MM)," 5,149.50 "," 6,818.70 "," 6,669.30 "," 5,952.90 "," 5,787.70 "," 5,045.90 "," 5,379.80 "," 6,654.50 "," 7,096.70 "," 7,285.60 "," 7,984.90 "," 10,934.10 "," 10,047.90 "," 9,895.80 "," 11,433.40 "
Infomación financiera Clave,,Costo de ventas,(US$ MM)," 2,129.00 "," 2,763.20 "," 2,769.20 "," 2,871.30 "," 2,840.50 "," 2,927.60 "," 3,034.10 "," 3,252.80 "," 3,409.00 "," 3,606.40 "," 3,929.80 "," 3,894.40 "," 4,649.10 "," 4,687.70 "," 4,842.40 "
Infomación financiera Clave,,Utilidad Operativa,(US$ MM)," 2,604.20 "," 3,625.40 "," 3,108.90 "," 2,532.10 "," 2,232.70 "," 1,414.40 "," 1,564.20 "," 2,618.90 "," 2,881.20 "," 2,753.00 "," 3,120.70 "," 6,065.20 "," 4,435.70 "," 4,192.30 "," 5,553.70 "
Infomación financiera Clave,,Utilidad neta atribuible a SCC,(US$ MM)," 1,554.10 "," 2,336.40 "," 1,934.60 "," 1,618.50 "," 1,333.00 ", 736.40 , 776.50 , 728.50 ," 1,543.00 "," 1,485.80 "," 1,570.40 "," 3,397.10 "," 2,638.50 "," 2,425.20 "," 3,384.20 "
Infomación financiera Clave,,Margen de utilidad neta,(%), 30.20 , 34.30 , 29.00 , 27.20 , 23.00 , 14.60 , 14.40 , 10.90 , 21.70 , 20.40 , 19.70 , 31.00 , 26.30 , 24.50 , 29.60 
Infomación financiera Clave,,EBITDA ajustado,(US$ MM)," 2,865.20 "," 3,909.50 "," 3,772.60 "," 2,945.20 "," 2,728.30 "," 1,944.80 "," 2,212.30 "," 3,292.40 "," 3,556.00 "," 3,526.90 "," 3,868.80 "," 6,852.70 "," 5,349.20 "," 5,029.50 "," 6,416.80 "
Infomación financiera Clave,,Margen EBITDA ajustado,(%), 55.60 , 57.30 , 56.60 , 49.50 , 47.10 , 38.50 , 41.10 , 49.50 , 50.10 , 48.40 , 48.50 , 63.00 , 53.20 , 50.80 , 56.10 
Infomación financiera Clave,,Utilidad por acción,(US$), 1.81 , 2.73 , 2.28 , 1.92 , 1.61 , 0.93 , 1.00 , 0.94 , 2.00 , 1.92 , 2.03 , 4.39 , 3.39 , 3.20 , 4.30 
